PERMNO,CUSIP,TICKER_CRDS,TICKER
22840,43258910,HSH,HSH
23026,33793210,FE,FE
23077,42307410,HNZ,HNZ
23085,80589M10,SCG,SCG
23114,74326310,PGN,PGN
23229,12589610,CMS,CMS
23393,17134010,CHD,CHD
23501,71329110,POM,POM
23536,92939U10,WEC,WEC
23579,88320310,TXT,TXT
23660,17290810,CTAS,CTAS
23712,74457310,PEG,PEG
23819,40621610,HAL,HAL
23887,35906A30,FTR,FTR
23931,98389B10,XEL,XEL
24010,29364G10,ETR,ETR
24053,30034W10,EVRG,EVRG
24109,2553710,AEP,AEP
24205,65339F10,NEE,NEE
24221,21037110,CEG,CEG
24328,26884L10,EQT,EQT
24459,72447910,PBI,PBI
24643,44320110,ARNC,ARNC
24643,44320110,HWM,HWM
85610,44320810,HWM,HWM
24766,66680710,NOC,NOC
24942,75511150,RTN,RTN
24985,2360810,AEE,AEE
25081,20034010,CMA,CMA
25099,45822P10,TEG,TEG
25232,68268010,OKE,OKE
25320,13442910,CPB,CPB
25419,96332010,WHR,WHR
25582,50243110,HRS,HRS
25582,50243110,LHX,HRS
25778,12673P10,CA,CA
25785,34537086,F,F
25953,26000310,DOV,DOV
26382,57620610,MEE,MEE
26403,25468710,DIS,DIS
26710,54042410,L,L
26825,48783610,K,K
27043,92220P10,VAR,VAR
27422,18589910,CLF,CLF
27633,78354910,R,R
27756,74835610,STR,STR
27828,40434L10,HPQ,HPQ
27887,7181310,BAX,BAX
27959,26441C20,DUK,DUK
27991,72348410,PNW,PNW
28222,915810,APD,APD
28345,62671710,MUR,MUR
28388,92904210,VNO,VNO
28804,1165910,ALK,ALK
29102,G6359F13,NBR,NBR
30681,68191910,OMC,OMC
30940,34354P10,FLS,FLS
32707,42345210,HP,HP
32803,43610610,HFC,HFC
32870,44045210,HRL,HRL
32986,4956010,ATO,ATO
34032,57459910,MAS,MAS
34746,31677310,FITB,FITB
34817,67034610,NUE,NUE
34833,67459910,OXY,OXY
35044,7591EP10,RF,RF
35051,69642930,PLL,PLL
35554,55261F10,MTB,MTB
36003,77571110,ROL,ROL
36397,32051710,FHN,FHN
36468,82434810,SHW,SHW
37161,87237510,TE,TE
37284,03349M10,ANDV,ANDV
37584,35461310,BEN,BEN
38093,36357610,AJG,AJG
38156,96945710,WMB,WMB
38682,25786720,RRD,RRD
38703,94974610,WFC,WFC
38762,65473P10,NI,NI
39087,85206110,S,S
39642,7588710,BDX,BDX
39917,96216610,WY,WY
40125,23355L10,DXC,DXC
40272,45950610,IFF,IFF
40416,5430310,AVP,AVP
40539,87254010,TJX,TJX
41080,23102110,CMI,CMI
41355,70109410,PH,PH
42200,71404610,PKI,PKI
42534,47836610,JCI,JCI
42585,83269640,SJM,SJM
42796,58943310,MDP,MDP
42877,44565810,JBHT,JBHT
42906,44615010,HBAN,HBAN
43123,01741R10,ATI,ATI
43350,85450210,SWK,SWK
43449,58013510,MCD,MCD
43553,91820410,VFC,VFC
43772,8143710,BMS,BMS
44206,30040W10,ES,ES
44206,30040W10,NU,ES
44329,87936910,TFX,TFX
44601,5361110,AVY,AVY
44644,5301510,ADP,ADP
44951,86853630,SVU,SVU
45241,34583810,FRX,FRX
45277,45990210,IGT,IGT
45356,G5150210,JCI,JCI
45495,G7665A10,RDC,RDC
45751,57174810,MMC,MMC
45794,83211010,SII,SII
46578,18905410,CLX,CLX
46674,37246010,GPC,GPC
46703,44107P10,HST,HST
46877,6738310,BCR,BCR
46886,48248010,KLAC,KLAC
47255,50247010,LB,LB
47466,65011110,NYT,NYT
47896,46625H10,JPM,JPM
47941,87901J10,TGNA,TGNA
48267,50216110,LSI,LSI
48274,65408610,GAS,GAS
48486,51280710,LRCX,LRCX
48506,61536910,MCO,MCO
48653,44485910,HUM,HUM
48725,90781810,UNP,UNP
49015,53418710,LNC,LNC
49154,8.76E+14,TGT,TGT
49373,9367110,HRB,HRB
49656,6405810,BK,BK
49680,23585110,DHR,DHR
50017,75281A10,RRC,RRC
50227,12189T10,BNI,BNI
50876,53245710,LLY,LLY
51369,88077010,TER,TER
51377,63764010,NSM,NSM
51706,57183710,MI,MI
52038,87182910,SYY,SYY
52090,57978020,MKC,MKC
52329,46981410,JEC,JEC
52329,46981410,J,JEC
52337,88033G40,THC,THC
52476,29442910,EFX,EFX
52484,5714910,BKR,BKR
52695,38480210,GWW,GWW
52708,52605710,LEN,LEN
52978,41805610,HAS,HAS
53065,46069010,IPG,IPG
53225,38463710,GHC,GHC
53613,59511210,MU,MU
53866,30700010,FDO,FDO
54148,74586710,PHM,PHM
54181,60107310,MIL,MIL
54827,60855410,MOLX,MOLX
55976,93114210,WMT,WMT
56274,20588710,CAG,CAG
56573,45230810,ITW,ITW
57665,65410610,NKE,NKE
57904,105510,AFL,AFL
58246,66585910,NTRS,NTRS
58413,31374720,FRT,FRT
58683,84474110,LUV,LUV
58819,1880210,LNT,LNT
59010,36476010,GPS,GPS
59176,2581610,AXP,AXP
59192,17123210,CB,CB
59248,60871R20,TAP,TAP
59300,90265310,UDR,UDR
59328,45814010,INTC,INTC
59408,6050510,BAC,BAC
59459,8.94E+14,TRV,TRV
60097,G5960L10,MDT,MDT
60206,83303410,SNA,SNA
60442,69347510,PNC,PNC
60506,69371810,PCAR,PCAR
60599,15670010,CTL,CTL
60599,15670010,LUMN,CTL
60628,31428X10,FDX,FDX
60871,3265410,ADI,ADI
61399,54866110,LOW,LOW
61516,9057220,BIO,BIO
61621,70432610,PAYX,PAYX
61735,G0403H10,AON,AON
61815,65504410,NBL,NBL
62034,70963110,PNR,PNR
62092,88355610,TMO,TMO
62148,12640810,CSX,CSX
62308,3.80E+14,TMK,TMK
62308,3.80E+14,GL,NLOK
62498,95530610,WST,WST
62519,26874Q10,ESV,ESV
63765,84546710,SWN,SWN
63830,74018910,PCP,PCP
64186,12552310,CI,CI
64282,50179710,LB,LB
64311,65584410,NSC,NSC
64390,74331510,PGR,PGR
64653,74460D10,PSA,PSA
64936,25746U10,D,D
64995,49326710,KEY,KEY
65330,52490110,LM,LM
65402,83186520,AOS,AOS
65541,21664840,COO,COO
65875,92343V10,VZ,VZ
66093,00206R10,T,T
66157,90297330,USB,USB
66181,43707610,HD,HD
66325,78442P10,SLM,SLM
66384,95810210,WDC,WDC
66800,2687478,AIG,AIG
67467,8930210,BIG,BIG
67598,42250P10,HCP,HCP
67598,42250P10,PEAK,HCP
68144,86791410,STI,STI
68591,79084910,STJ,STJ
68857,12686C10,CVC,CVC
88919,12686C84,RMG,CVC
69032,61744644,MS,MS
69550,N5946510,MYL,MYL
69649,75473010,RJF,RJF
69796,21036P10,STZ,STZ
70033,41282210,HOG,HOG
70308,936310,ARG,ARG
70332,3251110,APC,APC
70500,19122T10,CCE,CCE
70519,17296742,C,C
