PERMNO,CUSIP,TICKER_CRDS,TICKER,Unnamed: 4
11908,26831510,EDCI,EDCI,
11917,71915310,PTEC,PTEC,
11992,87230710,CHFC,CHFC,
11995,19109810,COKE,COKE,
11998,20615620,LENS,LENS,
11999,60875310,MCP,MCP,
12008,26747510,DY,DY,
12009,74730110,QUAD,QUAD,
12011,75604L10,RLD,RLD,
12015,89148B20,NTG,NTG,
12017,98420U70,FH,FH,
12022,37230210,GLYT,GLYT,
12025,71103710,PEOP,PEOP,
12026,74733T10,QLIK,QLIK,
12027,83172R20,SMT,SMT,
12036,36144810,GATX,GATX,
12049,38068T10,GORO,GORO,
12051,46118H10,IL,IL,
12063,73244940,PARD,PARD,
12067,67000810,NVLS,NVLS,
12068,68003310,ONB,ONB,
12070,96608420,WSR,WSR,
12072,70159Q10,PKY,PKY,
12076,G8127610,SIG,SIG,
12078,28540910,ELMD,ELMD,
12080,38269P10,GMAN,GMAN,
12088,70086Y10,PSTB,PSTB,
12089,75606N10,RP,RP,
12090,89685K10,TSRX,TSRX,
12093,21870Q10,COR,COR,
12104,42291010,HBP,HBP,
12141,2136720,ALTA,ALTA,
12146,15870P30,CSBR,CSBR,
12149,48203L10,COB,COB,
12149,48203L10,JNP,JNP,
12165,30250910,FMCO,FMCO,
12166,76041610,FRBK,FRBK,
12169,25811P85,DRL,DRL,
12173,36164V10,GNCMA,GNCMA,
12188,42236030,EAR,EAR,
12189,43332310,HIFS,HIFS,
12209,53191410,LWAY,LWAY,
12211,53555510,LNN,LNN,
12214,54140210,LOGC,LOGC,
12217,58342110,MEAS,MEAS,
12226,55303J10,MGPI,MGPI,
12236,67000910,NOVN,NOVN,
12253,35803U10,FRSH,FRSH,
12265,92844S10,EYE,EYE (VISX),
12266,05368M10,PPHM,PPHM,
12266,05368M10,CDMO,CDMO,
12307,03236M20,AMRS,AMRS,
12308,16119P10,CHTR,CHTR,
12312,80908T10,SQI,SQI,
12323,13466Y10,CCG,CCG,
12329,28852N10,EFC,EFC,
12330,30066A10,EXAM,EXAM,
12340,89182610,TOWR,TOWR,
12342,G7997810,BOX,BOX,
12347,7.67E+12,AEGR,AEGR,
12348,10567B10,BBRG,BBRG,
12349,09689U10,BODY,BODY,
12350,64111R30,NETE,NETE,
12355,44045A10,HRZN,HRZN,
12356,49372310,KEYW,KEYW,
12359,64118V10,NTSP,NTSP,
12360,69404D10,PACB,PACB,
12362,85303B10,STND,STND,
12363,92335C10,VRA,VRA,
12364,776710,ARX,ARX,
12374,45772F10,IPHI,IPHI,
12380,70021530,PCYG,PCYG,
12384,81663A10,SEMG,SEMG,
12389,89600B20,TPLM,TPLM,
12391,Y1771G10,CMRE,CMRE,
12392,3242010,ANAC,ANAC,
12398,20454K10,GNOM,GNOM,
12402,74165N10,PRMW,PRMW,
12403,74939410,RDA,RDA,
12409,8.67E+14,SUNH,SUNH,
12410,35804H10,TFM,TFM,
12411,03879J10,ABUS,ABUS,
12413,98978L20,ZGNX,ZGNX,
12437,76117W10,RFP,RFP,
12439,5347010,AVL,AVL,
12446,37891B10,FXCM,FXCM,
