PERMNO,CUSIP,TICKER_CRDS,TICKER
42200,71404610,PKI,PKI
42534,47836610,JCI,JCI
42585,83269640,SJM,SJM
42877,44565810,JBHT,JBHT
42906,44615010,HBAN,HBAN
43350,85450210,SWK,SWK
43449,58013510,MCD,MCD
43553,91820410,VFC,VFC
44206,30040W10,ES,ES
44329,87936910,TFX,TFX
44601,5361110,AVY,AVY
44644,5301510,ADP,ADP
45356,G5150210,JCI,JCI
45751,57174810,MMC,MMC
45911,83088M10,SWKS,SWKS
46578,18905410,CLX,CLX
46674,37246010,GPC,GPC
46703,44107P10,HST,HST
46886,48248010,KLAC,KLAC
47255,50247010,LB,LB
47896,46625H10,JPM,JPM
48020,35582T10,MSI,MSI
48486,51280710,LRCX,LRCX
48506,61536910,MCO,MCO
48653,44485910,HUM,HUM
48725,90781810,UNP,UNP
49015,53418710,LNC,LNC
49154,8.76E+14,TGT,TGT
49656,6405810,BK,BK
49680,23585110,DHR,DHR
50876,53245710,LLY,LLY
51369,88077010,TER,TER
51596,49455P10,KMI,KMI
52038,87182910,SYY,SYY
52090,57978020,MKC,MKC
52230,77032310,RHI,RHI
52329,46981410,J,J
52476,29442910,EFX,EFX
52484,5714910,BKR,BKR
52695,38480210,GWW,GWW
52708,52605710,LEN,LEN
52978,41805610,HAS,HAS
53065,46069010,IPG,IPG
53613,59511210,MU,MU
54148,74586710,PHM,PHM
55976,93114210,WMT,WMT
56274,20588710,CAG,CAG
56573,45230810,ITW,ITW
57568,5849810,BLL,BLL
57665,65410610,NKE,NKE
57904,105510,AFL,AFL
58246,66585910,NTRS,NTRS
58413,31374720,FRT,FRT
58683,84474110,LUV,LUV
58819,1880210,LNT,LNT
59010,36476010,GPS,GPS
59176,2581610,AXP,AXP
59192,17123210,CB,CB
59248,60871R20,TAP,TAP
59300,90265310,UDR,UDR
59328,45814010,INTC,INTC
59408,6050510,BAC,BAC
59459,8.94E+14,TRV,TRV
60097,G5960L10,MDT,MDT
60206,83303410,SNA,SNA
60442,69347510,PNC,PNC
60506,69371810,PCAR,PCAR
60599,15670010,LUMN,LUMN
60628,31428X10,FDX,FDX
60871,3265410,ADI,ADI
60943,52466010,LEG,LEG
60986,65122910,NWL,NWL
61209,10676410,TT,TT
61241,790310,AMD,AMD
61399,54866110,LOW,LOW
61516,9057220,BIO,BIO
61621,70432610,PAYX,PAYX
61735,G0403H10,AON,AON
62034,70963110,PNR,PNR
62092,88355610,TMO,TMO
62148,12640810,CSX,CSX
62308,3.80E+14,GL,GL
62498,95530610,WST,WST
64186,12552310,CI,CI
64282,50179710,LB,LB
64311,65584410,NSC,NSC
64390,74331510,PGR,PGR
64653,74460D10,PSA,PSA
64936,25746U10,D,D
64995,49326710,KEY,KEY
65402,83186520,AOS,AOS
65541,21664840,COO,COO
65875,92343V10,VZ,VZ
66093,00206R10,T,T
66157,90297330,USB,USB
66181,43707610,HD,HD
66384,95810210,WDC,WDC
66800,2687478,AIG,AIG
67598,42250P10,PEAK,PEAK
69032,61744644,MS,MS
69593,65248770,NWS,NWS
69649,75473010,RJF,RJF
69796,21036P10,STZ,STZ
70519,17296742,C,C
70578,27886510,ECL,ECL
71175,91529Y10,UNM,UNM
71563,89832Q10,TFC,TFC
72726,85747710,STT,STT
73139,86366710,SYK,SYK
75034,05722G10,BKR,BKR
75100,88654710,TIF,TIF
75107,365410,ABMD,ABMD
75154,14365830,CCL,CCL
75186,80851310,SCHW,SCHW
75241,72378710,PXD,PXD
75333,12201410,BR,BR
75341,26441150,DRE,DRE
75510,00724F10,ADBE,ADBE
75591,45167R10,IEX,IEX
75607,66877110,NLOK,NLOK
75631,82301410,TFC,TFC
75819,92276F10,VTR,VTR
75825,26875P10,EOG,EOG
75828,28551210,EA,EA
76076,17275R10,CSCO,CSCO
76082,12709710,COG,COG
76095,43644010,HOLX,HOLX
76171,40411910,HCA,HCA
76185,90225210,TYL,TYL
76201,98391910,XLNX,XLNX
76226,92556H20,VIAC,VIAC
76605,5333210,AZO,AZO
76614,75886F10,REGN,REGN
76709,45168D10,IDXX,IDXX
76712,00130H10,AES,AES
76744,92532F10,VRTX,VRTX
76795,98920710,ZBRA,ZBRA
76841,09062X10,BIIB,BIIB
77037,67958010,ODFL,ODFL
77129,49446R10,KIM,KIM
77178,74752510,QCOM,QCOM
77182,G9782210,PRGO,PRGO
77274,37555810,GILD,GILD
77338,77669610,ROP,ROP
77357,87160710,SNPS,SNPS
77496,60819010,MHK,MHK
77605,10113710,BSX,BSX
77649,G8473T10,STE,STE
77661,23331A10,DHI,DHI
77702,85524410,SBUX,SBUX
77730,90249410,TSN,TSN
78844,02341R30,AMCR,AMCR
78975,46120210,INTU,INTU
78987,59501710,MCHP,MCHP
79057,H1467J10,CB,CB
79103,67103H10,ORLY,ORLY
79145,V7780T10,RCL,RCL
79265,30244510,FLIR,FLIR
79323,2000210,ALL,ALL
79328,52626210,DFS,DFS
79545,9972410,BWA,BWA
79547,29476L10,EQR,EQR
79637,91390310,UHS,UHS
79678,00507V10,ATVI,ATVI
79698,36665110,IT,IT
79782,75884910,REG,REG
79785,62944T10,NVR,NVR
79906,45337C10,INCY,INCY
80080,27743210,EMN,EMN
80100,82880610,SPG,SPG
80183,59522J10,MAA,MAA
80191,1265310,ALB,ALB
80204,57328410,MLM,MLM
80286,89235610,TSCO,TSCO
80320,21720410,CPRT,CPRT
80381,5348410,AVB,AVB
80406,74341010,PLD,PLD
80681,29717810,ESS,ESS
81045,75610910,O,O
81055,14040H10,COF,COF
81061,58155Q10,MCK,MCK
81285,89289310,TT,TT
81481,25674610,DLTR,DLTR
81540,3.07E+13,ABC,ABC
81593,62482R10,WM,WM
81655,23719410,DRI,DRI
81677,92974010,WAB,WAB
81696,25470M10,DISH,DISH
81736,76115210,RMD,RMD
81774,35671D85,FCX,FCX
81910,46127U10,IVZ,IVZ
82242,74340R10,TPR,TPR
82303,G3223R10,RE,RE
82307,23918K10,DVA,DVA
82469,1747610,ALLE,ALLE
82515,73278L10,POOL,POOL
82581,80640710,HSIC,HSIC
82598,64110D10,NTAP,NTAP
82621,59935P20,MS,MS
82642,51843910,EL,EL
82651,94184810,WAT,WAT
82686,17737610,CTXS,CTXS
82775,41651510,HIG,HIG
83111,1535110,ALXN,ALXN
83143,46284V10,IRM,IRM
83621,03662Q10,ANSS,ANSS
83669,49338N10,KEYS,KEYS
83884,59163F20,INFO,INFO
83946,5268610,ANET,ANET
84032,63707110,NOV,NOV
84129,98970110,ZION,ZION
84163,20442110,VNT,VNT
84169,53567910,LIN,LIN
84342,61174210,MNST,MNST
84373,74834L10,DGX,DGX
84381,77390310,ROK,ROK
84761,87405410,TTWO,TTWO
84767,1527110,ARE,ARE
84769,3209510,APH,APH
84777,39075210,GL,GL
84788,2313510,AMZN,AMZN
85029,G6958610,PEAK,PEAK
85035,74736K10,QRVO,QRVO
85058,10112110,BXP,BXP
85072,75121210,RL,RL
85257,3110010,AME,AME
85265,78440X10,SLG,SLG
85269,91913Y10,VLO,VLO
85348,98849810,YUM,YUM
85459,12541W20,CHRW,CHRW
85592,74340W10,PLD,PLD
85620,59161010,MGM,MGM
85621,59268810,MTD,MTD
85631,5276910,ADSK,ADSK
85663,91136310,URI,URI
85753,9.23E+14,VRSN,VRSN
85792,7.48E+14,PWR,PWR
85913,57190320,MAR,MAR
85914,8651610,BBY,BBY
85926,81211K10,SEE,SEE
86111,03027X10,AMT,AMT
86136,81685110,SRE,SRE
86158,19244610,CTSH,CTSH
86228,76075910,RSG,RSG
86298,90116710,TWTR,TWTR
86339,22822V10,CCI,CCI
86356,27864210,EBAY,EBAY
86401,35138T10,FOX,FOX
86580,67066G10,NVDA,NVDA
86783,09857L10,BKNG,BKNG
86868,38141G10,GS,GS
86964,31561610,FFIV,FFIV
86979,48203R10,JNPR,JNPR
